"TexturePath","Category","Width","Height","Status","ReviewAction"
"textures/block/_cobbled_deepslate.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/_deepslate_top.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/_deepslate.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/_tuff.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/acacia_wood.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/activator_rail_on_e.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/andesite/andesite.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/andesite/andesite1.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/andesite/andesite2.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/anvil_top_e.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/azure_bluet1.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/bedrock/bedrock1.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/bedrock/bedrock2.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/bedrock/bedrock3.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/bedrock/bedrock4.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/bedrock/bedrock5.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/bedrock/bedrock6.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/bee_nest_front_honey_e.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/beehive_front_honey_e.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/beetroots_dish_on_e.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/beetroots_dish_on.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/beetroots_dish.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/beetroots_stage0_e.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/beetroots_stage1_e.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/beetroots_stage2_e.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/beetroots_stage3_e.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/beetroots_top_3.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/beetroots_top.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/birch_wood.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/black_candle_lit_e.png","block","32","128","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/black_concrete_top.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/black_glazed_terracotta2.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/blackstone_top.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/blackstone.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/blackstone1.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/blackstone2.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/blackstone3.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/chiseled_nether_bricks.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/chiseled_polished_blackstone.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/cracked_nether_bricks.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/cracked_nether_bricks1.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/cracked_nether_bricks2.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/cracked_polished_blackstone_bricks.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/cracked_polished_blackstone_bricks1.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/cracked_polished_blackstone_bricks2.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/polished_blackstone_bricks.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/polished_blackstone_bricks1.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/polished_blackstone_bricks2.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/polished_blackstone_bricks3.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/polished_blackstone_bricks4.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blackstone/polished_blackstone.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blue_candle_lit_e.png","block","32","128","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blue_concrete_top.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blue_glazed_terracotta_top.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blue_glazed_terracotta_top2.png","block","32","32","LegacyOrCustomPath","Retain until model/reference audit proves unused"
"textures/block/blue_glazed_terracotta2.png","block","32","640","LegacyOrCustomPath","Retain until model/reference audit proves unused"
