era,objective_item,recipe_id,meaningful_foreign_namespaces,integration_depth,target_depth,status,acquisition_class,source
0,allthecompressed:cobblestone_1x,allthecompressed:compress/cobblestone_1x,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/allthecompressed/recipe/compress/cobblestone_1x.json
0,allthecompressed:cobblestone_2x,allthecompressed:compress/cobblestone_2x,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/allthecompressed/recipe/compress/cobblestone_2x.json
0,allthecompressed:cobblestone_3x,allthecompressed:compress/cobblestone_3x,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/allthecompressed/recipe/compress/cobblestone_3x.json
0,create:copper_nugget,create:crafting/materials/copper_nugget,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/create/recipe/crafting/materials/copper_nugget.json
0,exdeorum:oak_sieve,exdeorum:oak_sieve,quark,1,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/exdeorum/recipe/oak_sieve.json
0,exdeorum:string_mesh,exdeorum:string_mesh,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/exdeorum/recipe/string_mesh.json
0,exdeorum:wooden_hammer,exdeorum:wooden_hammer,quark,1,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/exdeorum/recipe/wooden_hammer.json
0,kubejs:copper_mineral_dust,,,0,0,NO_STATIC_JSON_RECIPE,KUBEJS_GENERATED_MINERAL_PROCESSING,
0,kubejs:copper_mineral_trace,,,0,0,NO_STATIC_JSON_RECIPE,KUBEJS_GENERATED_MINERAL_PROCESSING,
0,kubejs:habitation_contribution,infinite_domain:era_0/habitation_contribution,wastelands,1,0,EARLY_CAPSTONE_OK,STATIC_JSON_RECIPE,kubejs/data/infinite_domain/recipe/era_0/habitation_contribution.json
0,kubejs:mason_contribution,infinite_domain:era_0/mason_contribution,exdeorum;primitivestart,2,0,EARLY_CAPSTONE_OK,STATIC_JSON_RECIPE,kubejs/data/infinite_domain/recipe/era_0/mason_contribution.json
0,kubejs:scavenger_contribution,infinite_domain:era_0/scavenger_contribution,the_wasteland_reworked;wastelands,2,0,EARLY_CAPSTONE_OK,STATIC_JSON_RECIPE,kubejs/data/infinite_domain/recipe/era_0/scavenger_contribution.json
0,minecraft:bone,exdeorum:sieve/soul_sand/flint/bone,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/exdeorum/recipe/sieve/soul_sand/flint/bone.json
0,minecraft:charcoal,immersiveengineering:cokeoven/charcoal,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/immersiveengineering/recipe/cokeoven/charcoal.json
0,minecraft:clay,allthecompressed:decompress/clay_1x,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/allthecompressed/recipe/decompress/clay_1x.json
0,minecraft:cobblestone,ae2:entropy/cool/stone_cobblestone,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/ae2/recipe/entropy/cool/stone_cobblestone.json
0,minecraft:composter,minecraft:composter,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/minecraft/recipe/composter.json
0,minecraft:dirt,ae2:entropy/cool/grass_block_dirt,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/ae2/recipe/entropy/cool/grass_block_dirt.json
0,minecraft:furnace,farmersdelight:salvaging/furnace_minecart,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/farmersdelight/recipe/salvaging/furnace_minecart.json
0,minecraft:grass_block,allthecompressed:decompress/grass_block_1x,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/allthecompressed/recipe/decompress/grass_block_1x.json
0,minecraft:stick,createdieselgenerators:wire_cutting/sticks,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/createdieselgenerators/recipe/wire_cutting/sticks.json
0,minecraft:stone_pickaxe,minecraft:stone_pickaxe,quark,1,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/minecraft/recipe/stone_pickaxe.json
0,minecraft:water_bucket,,,0,0,NO_STATIC_JSON_RECIPE,FLUID_CONTAINER,
0,minecraft:wheat_seeds,create:milling/fern,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/create/recipe/milling/fern.json
0,primitivestart:bone_axe,primitivestart:bone_axe_left,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/primitivestart/recipe/bone_axe_left.json
0,primitivestart:bone_pickaxe,primitivestart:bone_pickaxe,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/primitivestart/recipe/bone_pickaxe.json
0,primitivestart:bone_shovel,primitivestart:bone_shovel,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/primitivestart/recipe/bone_shovel.json
0,the_wasteland_reworked:bandage,the_wasteland_reworked:bandage_recipe,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/the_wasteland_reworked/recipe/bandage_recipe.json
0,the_wasteland_reworked:garbage_bag,infinite_domain:sieve/hazardous_salvage/rusted_barrel/flint/garbage_bag,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/infinite_domain/recipe/sieve/hazardous_salvage/rusted_barrel/flint/garbage_bag.json
0,wastelands:canned_food,infinite_domain:sieve/hazardous_salvage/scrap_pile/diamond/canned_food,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/infinite_domain/recipe/sieve/hazardous_salvage/scrap_pile/diamond/canned_food.json
0,wastelands:purified_water,infinite_domain:sieve/hazardous_salvage/scrap_pile/diamond/purified_water,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/infinite_domain/recipe/sieve/hazardous_salvage/scrap_pile/diamond/purified_water.json
0,wastelands:radioactive_waste,infinite_domain:hammer/hazardous_salvage/waste_barrel_to_radioactive_waste,the_wasteland_reworked,1,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/infinite_domain/recipe/hammer/hazardous_salvage/waste_barrel_to_radioactive_waste.json
0,wastelands:scrap_metal,infinite_domain:sieve/hazardous_salvage/radioactive_waste/diamond/guaranteed_fallback,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/infinite_domain/recipe/sieve/hazardous_salvage/radioactive_waste/diamond/guaranteed_fallback.json
0,wastelands:scrap_pile,wastelands:scrap_pile,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/wastelands/recipe/scrap_pile.json
1,allthecompressed:iron_block_1x,allthecompressed:compress/iron_block_1x,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/allthecompressed/recipe/compress/iron_block_1x.json
1,create:andesite_alloy,create:crafting/materials/andesite_alloy,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/create/recipe/crafting/materials/andesite_alloy.json
1,create:andesite_funnel,create:crafting/logistics/andesite_funnel,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/create/recipe/crafting/logistics/andesite_funnel.json
1,create:basin,create:crafting/kinetics/basin,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,kubejs/data/create/recipe/crafting/kinetics/basin.json
1,create:belt_connector,create:crafting/kinetics/belt_connector,,0,0,SPARSE_OK,STATIC_JSON_RECIPE,data/create/recipe/crafting/kinetics/belt_connector.json
