area,namespace,content_type,path,extension,bytes,sha256
data,ae2,recipe,kubejs/data/ae2/recipe/decorative/cut_quartz_block.json,.json,443,2e09d01db6b11fd5f8e13f709807b7977fe05d51ad796a92cf4181e71b6dcd38
data,ae2,recipe,kubejs/data/ae2/recipe/decorative/quartz_fixture.json,.json,528,259feb690333cfd8f4f808c072bba3ed8715b535f9f536c392b454c2f0ff6820
data,ae2,recipe,kubejs/data/ae2/recipe/materials/advancedcard.json,.json,803,50a03aa946cfbc0d3f36105278c0faf8edb8776049e0535ba4222e810f2751dc
data,ae2,recipe,kubejs/data/ae2/recipe/materials/basiccard.json,.json,797,eb041277e45f291779cf169d2a3fe9b89d677f2f27137485fde0907a45abcc1b
data,ae2,recipe,kubejs/data/ae2/recipe/misc/chests_sky_stone.json,.json,468,5ec55c584a0d7bf726e75b0c8015d0c4fe7ee9e40bf024b2c74f3c3c38c440d7
data,ae2,recipe,kubejs/data/ae2/recipe/misc/tank_sky_stone.json,.json,573,f1bf55d0d72fa635cd051ccfe95aad4e28b1fba02d05d7a8481ccd37c7e24697
data,ae2,recipe,kubejs/data/ae2/recipe/misc/tiny_tnt.json,.json,539,04a577369f86efd09537afd873cc0be7419393b30118df83239dcb5642a145e6
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/cell_workbench.json,.json,784,9ffab0595fe21efae5c98e122ed5b3117133ae2a2034764e393d5a19b38e2430
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/crank.json,.json,552,05a0206225a3adb8d8aa724128fb5a7882ec2a1f5d923c36e624098215bd6da0
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/crystal_processing_charger.json,.json,567,143fc14411c75c62e6197ff5e6e79d6d035c9ec41269a39fe8f8bc3826419d23
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/crystal_processing_growth_accelerator.json,.json,804,73154ce42c1aa6055038377546bcb1353f7d0a0aa54398252cd2e40941a54140
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/energy_dense_energy_cell.json,.json,454,db8e3857a14cdd6391db50d337432f506643d4889ac6c5e0bba7472d5e0fe5ff
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/energy_energy_acceptor.json,.json,452,0110b8a59f0b76732932a1674bc350750e42b7011ad6dd311992ed8d3c07f62c
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/energy_energy_acceptor_alt.json,.json,452,0110b8a59f0b76732932a1674bc350750e42b7011ad6dd311992ed8d3c07f62c
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/energy_vibration_chamber.json,.json,894,e79f5e186868342bee389c41ba188c3564a8eefeacf278dab9743b658d802a87
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/inscribers.json,.json,450,8c99dbd75317d931186441965d02531b06f0aa255428272b45ef65543852937f
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/interfaces_interface.json,.json,785,5ddee4bdb4bf8931c1e52f8afc4b7a9d469ce2ba32e5512624e7f5f1ac320672
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/io_condenser.json,.json,668,485245943486da9c8a9dcbd83aea849ca1e3393a27b89875cdb6be4f16851630
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/io_port.json,.json,883,c229fbb063d7ad020dbb769f7413159a9bfb8ab5c6959efd876855e38a08eb52
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/pattern_providers_interface.json,.json,455,c6d83ce948d28ad30029a0fd2b86db2c4d837c27c919d3565df59148e95f44d7
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/pattern_providers_interface_alt.json,.json,455,c6d83ce948d28ad30029a0fd2b86db2c4d837c27c919d3565df59148e95f44d7
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/quantum_ring.json,.json,461,6bac4bad5567f54374329454cd5e18859a55e54fa703b635611c7fc90a26c1b0
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/spatial_anchor.json,.json,567,30b04c51f8becb70c914082121dd383fd973320a54ccbdf1bf3488cbc7ce00d0
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/spatial_io_port.json,.json,899,b6267791b934d4c5f996b7acce248e0fa5c39eddd5043dca7e319eba8a5d7470
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/storage_chest.json,.json,887,28047f6a9a5eb1b3317950681f9aac78bad546f1aa1d85a71ae43c3e49aa3285
data,ae2,recipe,kubejs/data/ae2/recipe/network/blocks/storage_drive.json,.json,462,1c9826a7286b3d41c016a3fa16ba63fcd7cbeedd8c5cd0c8c9341f304fe72b14
data,ae2,recipe,kubejs/data/ae2/recipe/network/cables/dense_smart_fluix.json,.json,605,c4ba37f6ff889070aea366fbd473fc9138281eb4e76d1297761cf3ae798d3aad
data,ae2,recipe,kubejs/data/ae2/recipe/network/cables/smart_fluix.json,.json,593,d947d56dac7872d4e9d27d62e3da693c710d85e36774218b98962bdbc52f9743
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/fluid_cell_housing.json,.json,678,f241adc7566833ae89e1e99aed7052109cdce3ded4e18d2cdc74378b751ef30c
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/fluid_storage_cell_16k.json,.json,794,0ff24d445c08d03bd4fa5d2215a11b11c0e80a52e5c996df44d820d8e2adc308
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/fluid_storage_cell_1k.json,.json,792,a5daaf853cc22fe3706392d799c517b13860d9dc24e845181fe10416bbebb6d9
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/fluid_storage_cell_256k.json,.json,796,e28620c8cf055abf6d9f619a9fa528785b343b8b69f9b5774aa0130518bf7214
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/fluid_storage_cell_4k.json,.json,792,523a6bf13f7657fcaf65edbce738aaa314d2d0af2a323865c542d7f0b308f78a
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/fluid_storage_cell_64k.json,.json,794,54d210a5a57bbf2ec407b6c8f800bc5647b84a9481dfa490bca44c4103bf51c3
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/item_cell_housing.json,.json,797,387968120d1130bbcbe9a0d586661b5dcf8ebb72532f6c6a10794e2fdf8fd561
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/item_storage_cell_16k.json,.json,913,496a34128739f25d49a549150962791af2196a2980dbe73dceabc9d269b35db8
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/item_storage_cell_1k.json,.json,911,adea9f01ed1ae60cf70d65393d61169ecb8361f8eebc16e49c140d8e773373aa
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/item_storage_cell_256k.json,.json,469,84e9a6baeaba2af570b87d7bed364ac4da7a7023a4e23e48b22e9899c8e7fcf6
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/item_storage_cell_256k_storage.json,.json,469,84e9a6baeaba2af570b87d7bed364ac4da7a7023a4e23e48b22e9899c8e7fcf6
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/item_storage_cell_4k.json,.json,911,34eda459376f839337539d36f1a5581869becf698876682da881696f8f10198e
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/item_storage_cell_64k.json,.json,913,69b2ec4b444189080182fe8619681eaa35393e336c25bcc5c51725f2ad1410f7
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/item_storage_components_cell_1k_part.json,.json,678,104f7f99829c6c6d9aafa956723ae6a5baffa3ded086ba3fd51a781349a671f7
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/item_storage_components_cell_4k_part.json,.json,791,dd80dc9940c7b207868ccc5fc32945c3f50b9dceff1ac4ec5adb2837bb2947d9
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/spatial_storage_cell_128_cubed.json,.json,812,676d14be88518b779ad586e82df05a0833ed71edfb65780eb15c10d32c8c8420
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/spatial_storage_cell_16_cubed.json,.json,810,6f81620f9f73fdc9ea9a1416b1dc0f08c312c8a5c0af354f9fef0cf9081ffc3c
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/spatial_storage_cell_2_cubed.json,.json,808,a394c6cc7a7e64c1d08a032730d33653142a0be4a1ca5537efd2328fbc155e1e
data,ae2,recipe,kubejs/data/ae2/recipe/network/cells/view_cell.json,.json,787,de582290975a4fbd4fb605d37725c1fcd1e6de1e28f2954bcdbfbd0c4793f1be
data,ae2,recipe,kubejs/data/ae2/recipe/network/crafting/cpu_crafting_unit.json,.json,796,ce6255fa54a44fda4210a2e2eeba78f53c4cab3d2786402b1e5785f04ac90874
data,ae2,recipe,kubejs/data/ae2/recipe/network/crafting/molecular_assembler.json,.json,458,c8ad86a1ae0da4f12fec08279f8ad57351754e7978980d1b29fb8b0e7fddd0c0
data,ae2,recipe,kubejs/data/ae2/recipe/network/crafting/patterns_blank.json,.json,895,6f8811082c7fa7ffe2c9b38aa2d31d62286ed81292f4705b872488f067e85ed2
data,ae2,recipe,kubejs/data/ae2/recipe/network/crystal_resonance_generator.json,.json,831,0e0b11ec9630273517a1913488d743b2f8f6835b008c511c32d45a28ef0e046b
data,ae2,recipe,kubejs/data/ae2/recipe/network/parts/annihilation_plane_alt.json,.json,651,16b3a7dd98432070759cc1277a9e22ed1cfe80ec9dae5abaa8ab0ce3e24fd45e
data,ae2,recipe,kubejs/data/ae2/recipe/network/parts/annihilation_plane_alt2.json,.json,676,ab7288ba898395bfe63d95a5d58b95079a952efd96aa3d85394297814d7b6e5b
data,ae2,recipe,kubejs/data/ae2/recipe/network/parts/export_bus.json,.json,644,126aab8a6718b3708697d17d80043e15631e48a034480c15094da2efff9a078a
data,ae2,recipe,kubejs/data/ae2/recipe/network/parts/formation_plane.json,.json,645,c1d60de69794ec4f550081c08bef63ff9601cb5362442db3eb56301c0891c5cc
data,ae2,recipe,kubejs/data/ae2/recipe/network/parts/formation_plane_alt.json,.json,670,16e01117ab782e6ac0bae0df0b94567b8c72fa55fd69ee45ef1d6c2f5f41d298
data,ae2,recipe,kubejs/data/ae2/recipe/network/parts/import_bus.json,.json,647,181d17f27cf6eef36ae5727a0c77b831894e5a05330494dc0d55732a81e5d23a
